date,ticker,close,Predicted Signal
2020-04-27,TGGI,0.0,0
2020-04-28,TGGI,0.0,0
2020-04-29,TGGI,0.0,0
2020-04-30,TGGI,0.0,0
2020-05-01,TGGI,0.0,0
2020-05-04,TGGI,0.0,0
2020-05-05,TGGI,0.0,0
2020-05-06,TGGI,0.0,0
2020-05-07,TGGI,0.0,0
2020-05-08,TGGI,0.0,0
2020-05-11,TGGI,0.0,0
2020-05-12,TGGI,0.0,0
2020-05-13,TGGI,0.0,0
2020-05-14,TGGI,0.0,0
2020-05-15,TGGI,0.0,0
2020-05-18,TGGI,0.0,0
2020-05-19,TGGI,0.0,0
2020-05-20,TGGI,0.0,0
2020-05-21,TGGI,0.0,0
2020-05-22,TGGI,0.0,0
2020-05-26,TGGI,0.0,0
2020-05-27,TGGI,0.0,0
2020-05-28,TGGI,0.0,0
2020-05-29,TGGI,0.0,0
2020-06-01,TGGI,0.0,0
2020-06-02,TGGI,0.0,0
2020-06-03,TGGI,0.0,0
2020-06-04,TGGI,0.0,0
2020-06-05,TGGI,0.0,0
2020-06-08,TGGI,0.0,0
2020-06-09,TGGI,0.0,0
2020-06-10,TGGI,0.0,0
2020-06-11,TGGI,0.0,0
2020-06-12,TGGI,0.0,0
2020-06-15,TGGI,0.0,0
2020-06-16,TGGI,0.0,0
2020-06-17,TGGI,0.0,0
2020-06-18,TGGI,0.0,0
2020-06-19,TGGI,0.0,0
2020-06-22,TGGI,0.0,0
2020-06-23,TGGI,0.0,0
2020-06-24,TGGI,0.0,0
2020-06-25,TGGI,0.0,0
2020-06-26,TGGI,0.0,0
2020-06-30,TGGI,0.0,0
2020-07-01,TGGI,0.0,0
2020-07-02,TGGI,0.0,0
2020-07-06,TGGI,0.0,0
2020-07-07,TGGI,0.0,0
2020-07-08,TGGI,0.0,0
2020-07-09,TGGI,0.0,0
2020-07-10,TGGI,0.0,0
2020-07-13,TGGI,0.0,0
2020-07-14,TGGI,0.0,0
2020-07-15,TGGI,0.0,0
2020-07-16,TGGI,0.0,0
2020-07-20,TGGI,0.0,0
2020-07-21,TGGI,0.0,0
2020-07-22,TGGI,0.0,0
2020-07-23,TGGI,0.0,0
2020-07-24,TGGI,0.0,0
2020-07-27,TGGI,0.0,0
2020-07-28,TGGI,0.0,0
2020-07-29,TGGI,0.0,0
2020-07-30,TGGI,0.0,0
2020-07-31,TGGI,0.0,0
2020-08-03,TGGI,0.0,0
2020-08-04,TGGI,0.0,0
2020-08-05,TGGI,0.0,0
2020-08-06,TGGI,0.0,0
2020-08-07,TGGI,0.0,0
2020-08-10,TGGI,0.0,0
2020-08-11,TGGI,0.0,0
2020-08-12,TGGI,0.0,0
2020-08-13,TGGI,0.0,0
2020-08-14,TGGI,0.0,0
2020-08-17,TGGI,0.0,0
2020-08-18,TGGI,0.0,0
2020-08-19,TGGI,0.0,0
2020-08-20,TGGI,0.0,0
2020-08-21,TGGI,0.0,0
2020-08-24,TGGI,0.0,0
2020-08-25,TGGI,0.0,0
2020-08-26,TGGI,0.0,0
2020-08-27,TGGI,0.0,0
2020-08-28,TGGI,0.0,0
2020-08-31,TGGI,0.0,0
2020-09-01,TGGI,0.0,0
2020-09-02,TGGI,0.0,0
2020-09-03,TGGI,0.0,0
2020-09-04,TGGI,0.0,0
2020-09-08,TGGI,0.0,0
2020-09-09,TGGI,0.0,0
2020-09-10,TGGI,0.0,0
2020-09-11,TGGI,0.0,0
2020-09-14,TGGI,0.0,0
2020-09-15,TGGI,0.0,0
2020-09-16,TGGI,0.0,0
2020-09-17,TGGI,0.0,0
2020-09-18,TGGI,0.0,0
2020-09-21,TGGI,0.0,0
2020-09-22,TGGI,0.0,0
2020-09-23,TGGI,0.0,0
2020-09-24,TGGI,0.0,0
2020-09-25,TGGI,0.0,0
2020-09-28,TGGI,0.0,0
2020-09-29,TGGI,0.0,0
2020-09-30,TGGI,0.0,0
2020-10-01,TGGI,0.0,0
2020-10-02,TGGI,0.0,0
2020-10-05,TGGI,0.0,0
2020-10-06,TGGI,0.0,0
2020-10-07,TGGI,0.0,0
2020-10-08,TGGI,0.0,0
2020-10-09,TGGI,0.0,0
2020-10-12,TGGI,0.0,0
2020-10-13,TGGI,0.0,0
2020-10-14,TGGI,0.0,0
2020-10-15,TGGI,0.0,0
2020-10-16,TGGI,0.0,0
2020-10-19,TGGI,0.0,0
2020-10-20,TGGI,0.0,0
2020-10-21,TGGI,0.0,0
2020-10-22,TGGI,0.0,0
2020-10-23,TGGI,0.0,0
2020-10-26,TGGI,0.0,0
2020-10-27,TGGI,0.0,0
2020-10-28,TGGI,0.0,0
2020-10-29,TGGI,0.0,0
2020-10-30,TGGI,0.0,0
2020-11-02,TGGI,0.0,0
2020-11-03,TGGI,0.0,0
2020-11-05,TGGI,0.0,0
2020-11-09,TGGI,0.0,0
2020-11-10,TGGI,0.0,0
2020-11-11,TGGI,0.0,0
2020-11-12,TGGI,0.0,0
2020-11-13,TGGI,0.0,0
2020-11-16,TGGI,0.0,0
2020-11-17,TGGI,0.0,0
2020-11-18,TGGI,0.0,0
2020-11-19,TGGI,0.0,0
2020-11-20,TGGI,0.0,0
2020-11-23,TGGI,0.0,0
2020-11-24,TGGI,0.0,0
2020-11-25,TGGI,0.0,0
2020-11-27,TGGI,0.0,0
2020-11-30,TGGI,0.0,0
2020-12-01,TGGI,0.0,0
2020-12-02,TGGI,0.0,0
2020-12-03,TGGI,0.0,0
2020-12-04,TGGI,0.0,0
2020-12-07,TGGI,0.0,0
2020-12-08,TGGI,0.0,0
2020-12-09,TGGI,0.0,0
2020-12-10,TGGI,0.0,0
2020-12-11,TGGI,0.0,0
2020-12-14,TGGI,0.0,0
2020-12-15,TGGI,0.0,0
2020-12-16,TGGI,0.0,0
2020-12-17,TGGI,0.0,0
2020-12-18,TGGI,0.0,0
2020-12-21,TGGI,0.0,0
2020-12-22,TGGI,0.0,0
2020-12-23,TGGI,0.0,0
2020-12-24,TGGI,0.0,0
2020-12-28,TGGI,0.0,0
2020-12-29,TGGI,0.0,0
2020-12-30,TGGI,0.0,0
2020-12-31,TGGI,0.0,0
2021-01-04,TGGI,0.0,0
2021-01-05,TGGI,0.0,0
2021-01-06,TGGI,0.0,0
2021-01-07,TGGI,0.0,0
2021-01-08,TGGI,0.0,0
2021-01-11,TGGI,0.0,0
2021-01-12,TGGI,0.0,0
2021-01-13,TGGI,0.0,0
2021-01-14,TGGI,0.0,0
2021-01-15,TGGI,0.0,0
2021-01-19,TGGI,0.0,0
2021-01-20,TGGI,0.0,0
2021-01-21,TGGI,0.0,0
2021-01-22,TGGI,0.0,0
2021-01-25,TGGI,0.0,0
2021-01-26,TGGI,0.0,0
2021-01-27,TGGI,0.0,0
2021-01-28,TGGI,0.0,0
